@relation rstparser

@ATTRIBUTE n1 numeric
@ATTRIBUTE n2 numeric
@ATTRIBUTE n3 numeric
@ATTRIBUTE n4 numeric
@ATTRIBUTE n5 numeric
@ATTRIBUTE n6 numeric
@ATTRIBUTE n7 numeric
@ATTRIBUTE n8 numeric
@ATTRIBUTE n9 numeric
@ATTRIBUTE n10 numeric
@ATTRIBUTE n11 numeric
@ATTRIBUTE n12 numeric
@ATTRIBUTE n13 numeric
@ATTRIBUTE n14 numeric
@ATTRIBUTE n15 numeric
@ATTRIBUTE n16 numeric
@ATTRIBUTE n17 numeric
@ATTRIBUTE n18 numeric
@ATTRIBUTE n19 numeric
@ATTRIBUTE n20 numeric
@ATTRIBUTE n21 numeric
@ATTRIBUTE n22 numeric
@ATTRIBUTE n23 numeric
@ATTRIBUTE n24 numeric
@ATTRIBUTE n25 numeric
@ATTRIBUTE n26 numeric
@ATTRIBUTE n27 numeric
@ATTRIBUTE n28 numeric
@ATTRIBUTE n29 numeric
@ATTRIBUTE n30 numeric
@ATTRIBUTE n31 numeric
@ATTRIBUTE n32 numeric
@ATTRIBUTE n33 numeric
@ATTRIBUTE n34 numeric
@ATTRIBUTE n35 numeric
@ATTRIBUTE n36 numeric
@ATTRIBUTE n37 numeric
@ATTRIBUTE n38 numeric
@ATTRIBUTE s1 string
@ATTRIBUTE s2 string
@ATTRIBUTE s3 string
@ATTRIBUTE s4 string
@ATTRIBUTE s5 string
@ATTRIBUTE s6 string
@ATTRIBUTE s7 string
@ATTRIBUTE s8 string
@ATTRIBUTE s9 string
@ATTRIBUTE s10 string
@ATTRIBUTE s11 string
@ATTRIBUTE s12 string
@ATTRIBUTE s13 string
@ATTRIBUTE s14 string
            

@attribute class {antithesis_concession_contrast, background_circumstance, interpretation_evaluation_conclusion, evidence_justify_explanation, enablement_motivation_purpose, condition_otherwise, cause_result, attribution, comparison, elaboration, restatement, same_unit, sequence, list, summary, means, joint, solutionhood}

@data
1,1,1,12,9,1,1,0.354838709677419,0.258064516129032,0.612903225806452,11,22,1,2,8,0,1,0,0,36,47,2,2,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0.125,0,0,explicativa,noconj,noconj,noconj,forma,procurando,s,procurando,np,vp,vp,np,procurando,forma,means
1,1,1,13,21,1,2,0.387096774193548,0,1,0,0,0,0,19,0,1,0,0,25,36,12,12,0,0,0,0.0833333333333333,0.15,0.416666666666667,0.25,0,0,0,0.1,0,0.05,0,0,noconj,explicativa,noconj,noconj,comma,que,cp,comma,pnt,cp,cp,pnt,que,comma,elaboration
1,1,1,5,9,1,1,0.384615384615385,0.615384615384615,1,0,5,0,0,7,0,1,0,0,55,60,3,3,0,0,0,0,0.125,0,0.25,0,0,0,0.25,0,0,0,0,noconj,noconj,noconj,noconj,para,é,vp,é,pp,vp,vp,pp,é,para,enablement_motivation_purpose
1,1,1,9,9,1,1,0.5,0.5,1,0,8,0,1,8,0,1,0,0,0,9,4,4,0,0,0,0.125,0.25,0.25,0.25,0,0.125,0.25,0.125,0,0.125,0.25,0.2,noconj,explicativa,noconj,noconj,comma,está,s,comma,pnt,s,s,pnt,está,comma,evidence_justify_explanation
1,1,1,21,11,2,1,0.484848484848485,0.242424242424242,0.727272727272727,9,25,1,3,8,0,1,0,0,39,55,3,3,0,0,0,0,0,0.2,0.3,0,0,0.1,0.1,0,0,0,0,noconj,noconj,noconj,noconj,realizado,sobre,s,realizado,vp,pp,pp,vp,sobre,realizado,same_unit
1,1,1,11,32,1,3,0.303030303030303,0,1.03030303030303,0,0,0,0,24,0,1,0,0,30,39,4,4,0,0,0,0,0.032258064516129,0.4,0.354838709677419,0,0.032258064516129,0.2,0.0967741935483871,0,0,0,0,noconj,noconj,noconj,noconj,comma,realizado,vp,realizado,pnt,vp,vp,pnt,realizado,comma,elaboration
1,1,1,3,5,1,1,0.115384615384615,0.153846153846154,0.269230769230769,12,15,3,4,11,8,1,0,0,75,78,19,19,0,0,0,1,0,3,0.75,0,0,0.5,0,0,0.25,0.125,0.5,noconj,aditiva,noconj,noconj,evitar,selecionar,np,evitar,np,np,np,np,selecionar,evitar,list
1,1,1,7,9,1,3,0.192307692307692,0.307692307692308,0.5,6,11,1,2,15,7,1,0,0,69,74,16,16,0,0,0,0.166666666666667,0.125,1,0.625,0,0,0.166666666666667,0,0,0.125,0.142857142857143,0.2,noconj,noconj,noconj,noconj,comma,feita,ap,comma,pnt,ap,ap,pnt,feita,comma,elaboration
1,1,1,22,8,5,1,0.730769230769231,0.269230769230769,1,0,19,0,5,7,0,1,0,0,63,82,23,23,0,0,0,0.0952380952380952,0,0.523809523809524,0.571428571428571,0,0,0.0476190476190476,0,0.0476190476190476,0.142857142857143,0,0,noconj,causal,noconj,noconj,saudáveis,nul,napostrophe,selecionar,n,n,n,n,nul,saudáveis,same_unit
1,1,1,4,35,1,1,0.0882352941176471,0.911764705882353,1,0,3,0,1,31,0,1,0,0,108,111,2,2,0,0,0,0,0.117647058823529,0,0.323529411764706,0,0,0,0.0882352941176471,0,0.0294117647058824,0,0,noconj,noconj,noconj,noconj,para,deve,s,para,pp,s,s,pp,deve,para,attribution
1,1,1,13,4,2,1,0.391304347826087,0.130434782608696,0.521739130434783,0,9,0,2,14,12,1,0,0,142,151,11,11,0,0,0,0,0.333333333333333,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0,0,noconj,noconj,noconj,noconj,comma,alberto,np,alberto,pnt,napostrophe,napostrophe,pnt,alberto,comma,same_unit
1,1,1,17,13,3,1,0.521739130434783,0.478260869565217,1,0,12,0,3,11,0,1,0,0,142,154,4,4,0,0,0,0.0625,0,0.625,0.416666666666667,0,0,0,0.0833333333333333,0,0,0.1,0.2,noconj,explicativa,noconj,noconj,salientou,para,vp,salientou,v,cp,cp,v,para,salientou,attribution
1,1,1,6,8,1,1,0.260869565217391,0.260869565217391,0.521739130434783,11,16,2,3,6,0,1,0,0,208,213,9,9,0,0,0,0.4,0.142857142857143,0.8,0.285714285714286,0,0,0.2,0,0,0,0,0,aditiva,noconj,noconj,noconj,é,para,vp,é,vp,pp,pp,vp,para,é,enablement_motivation_purpose
1,1,1,11,14,1,2,0.391304347826087,0,0.91304347826087,2,0,1,0,11,0,1,0,0,199,219,9,9,0,0,0,0.2,0.153846153846154,0.2,0.230769230769231,0,0,0,0.0769230769230769,0,0,0,0,explicativa,aditiva,noconj,noconj,25,e,np,e,cardapostrophe,napostrophe,napostrophe,cardapostrophe,e,25,list
1,1,1,2,25,1,3,0.0869565217391304,0,1,0,0,0,0,20,0,1,0,0,197,219,3,3,0,0,0,1,0.125,1,0.208333333333333,0,0,0,0.0833333333333333,0,0,0,0,noconj,explicativa,noconj,noconj,disse,correspondem,vp,disse,v,cp,cp,v,correspondem,disse,attribution
1,1,1,31,17,1,2,0.7,0,1,0,0,0,0,11,0,1,0,0,0,28,15,15,0,0,0,0.1,0.0625,0.3,0.4375,0.0666666666666667,0,0.1,0,0.0333333333333333,0,0,0,noconj,conformativa,noconj,noconj,comma,de,pp,de,pnt,pp,pp,pnt,de,comma,attribution
1,1,1,15,5,1,2,0.192307692307692,0.0576923076923077,0.25,0,10,0,1,41,38,1,0,0,39,49,8,8,0,0,0,0.0714285714285714,0,0.357142857142857,1,0,0,0,0,0,0,0,0,noconj,noconj,noconj,noconj,comma,chamados,np,chamados,pnt,napostrophe,napostrophe,pnt,chamados,comma,elaboration
1,1,1,20,10,3,1,0.25,0.153846153846154,0.403846153846154,0,13,0,3,38,31,1,0,0,39,52,12,12,0,0,0,0.0526315789473684,0,0.473684210526316,0.333333333333333,0,0,0,0.111111111111111,0,0,0.111111111111111,0.333333333333333,noconj,noconj,noconj,noconj,snos,nul,),snos,n,n,n,n,nul,snos,same_unit
1,1,1,11,10,1,1,0.192307692307692,0.173076923076923,0.365384615384615,21,31,4,5,20,13,1,0,0,60,70,6,6,0,0,0,0.1,0.111111111111111,0.4,0.444444444444444,0,0,0,0,0,0,0,0,noconj,noconj,noconj,noconj,gases,sinalizando,np,gases,np,vp,vp,np,sinalizando,gases,sequence
1,1,1,21,14,2,1,0.365384615384615,0.230769230769231,0.596153846153846,21,39,4,6,12,0,1,0,0,60,78,7,7,0,0,0,0.05,0.230769230769231,0.9,0.153846153846154,0,0,0.1,0.0769230769230769,0.05,0.0769230769230769,0,0,noconj,aditiva,noconj,noconj,sinalizando,e,vp,sinalizando,vp,conjp,conjp,vp,e,sinalizando,sequence
1,1,1,30,35,4,3,0.403846153846154,0,1,0,0,0,0,30,0,1,0,0,39,60,8,8,0,0,0,0.0344827586206897,0.117647058823529,0.448275862068966,0.323529411764706,0,0,0.0344827586206897,0.0588235294117647,0,0.0588235294117647,0,0,noconj,noconj,noconj,noconj,comma,fazendo,np,fazendo,pnt,napostrophe,napostrophe,pnt,fazendo,comma,means
1,1,1,13,12,1,1,0.45,0.55,1,0,9,0,1,10,0,1,0,0,90,99,2,2,0,0,0,0,0.181818181818182,0,0.363636363636364,0,0,0,0.0909090909090909,0,0,0,0,conformativa,noconj,noconj,noconj,comma,pode,s,comma,s,s,s,s,pode,comma,attribution
1,1,1,11,2,1,1,0.611111111111111,0.0555555555555556,0.666666666666667,8,17,1,2,1,0,1,0,0,117,126,5,5,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,noconj,noconj,noconj,noconj,comma,de_,pp,de_,pnt,pp,pp,pnt,de_,comma,attribution
1,1,1,19,5,1,1,0.8,0.2,1,0,16,0,1,4,0,1,0,0,36,52,17,17,0,0,0,0.166666666666667,0,0.111111111111111,0.25,0.0555555555555556,0.25,0,0.25,0,0,0,0,noconj,noconj,noconj,noconj,velocidade,vindo,napostrophe,velocidade,napostrophe,napostrophe,napostrophe,napostrophe,vindo,velocidade,cause_result
1,1,2,7,28,1,1,0.162162162162162,0,0.675675675675676,13,0,1,0,16,0,1,0,0,69,75,21,21,0,0,0,0.5,0,1.33333333333333,0.37037037037037,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0,noconj,noconj,noconj,noconj,1938,nul,napostrophe,nul,n,pp,pp,n,nul,1938,background_circumstance
1,1,2,6,35,1,2,0.162162162162162,0,0.837837837837838,8,0,0,0,22,0,1,0,0,64,69,13,13,0,0,0,0.4,0.0294117647058824,0.8,0.382352941176471,0.2,0,0.2,0,0.2,0,0,0,noconj,noconj,noconj,noconj,welles,nul,napostrophe,nul,n,n,n,n,nul,welles,elaboration
1,1,1,5,10,1,1,0.0888888888888889,0.155555555555556,0.244444444444444,16,19,3,4,22,16,1,0,0,107,110,5,5,0,0,0,0.75,0.111111111111111,1.25,0.222222222222222,0,0,0.75,0.111111111111111,0,0,0,0,explicativa,condicional,noconj,noconj,nul,nul,s,nul,advp,s,s,advp,nul,nul,condition_otherwise
1,1,1,4,15,1,1,0.0888888888888889,0.266666666666667,0.355555555555556,26,30,5,6,11,0,1,0,0,117,121,11,11,0,0,0,1.66666666666667,0.142857142857143,2.66666666666667,0.285714285714286,1,0,2,0,0.333333333333333,0.0714285714285714,0,0,adversativa,noconj,noconj,noconj,nul,nul,s,nul,np,vp,vp,np,nul,nul,enablement_motivation_purpose
1,1,1,15,19,2,2,0.244444444444444,0,0.6,16,0,3,0,15,0,1,0,0,107,117,8,8,0,0,0,0.357142857142857,0.111111111111111,0.571428571428571,0.277777777777778,0.142857142857143,0.0555555555555556,0.428571428571429,0,0,0.111111111111111,0,0,explicativa,adversativa,noconj,noconj,comma,nul,conjp,nul,pnt,conjp,conjp,pnt,nul,comma,antithesis_concession_contrast
1,1,1,16,34,2,4,0.311111111111111,0,0.911111111111111,3,0,1,0,25,0,1,0,0,94,107,10,10,0,0,0,0.2,0.121212121212121,0.333333333333333,0.212121212121212,0.0666666666666667,0.0606060606060606,0.2,0.0606060606060606,0,0.0606060606060606,0.0909090909090909,0.0714285714285714,noconj,explicativa,noconj,noconj,nul,nul,napostrophe,nul,napostrophe,cp,cp,napostrophe,nul,nul,same_unit
1,1,1,14,8,1,1,0.684210526315789,0.315789473684211,1,0,13,0,1,5,0,1,0,0,132,145,15,15,0,0,0,0.153846153846154,0,0.153846153846154,0.285714285714286,0.0769230769230769,0.142857142857143,0.0769230769230769,0,0.0769230769230769,0,0,0,aditiva,noconj,noconj,noconj,apavora,de_,vp,apavora,vapostrophe,pp,pp,vapostrophe,de_,apavora,elaboration
1,1,1,27,22,2,1,0.461538461538462,0.538461538461538,1,0,17,0,2,20,0,1,0,0,150,167,18,18,0,0,0,0.0384615384615385,0.19047619047619,0.384615384615385,0.142857142857143,0,0.0476190476190476,0,0.19047619047619,0,0.0476190476190476,0,0,noconj,noconj,noconj,noconj,luz,nul,napostrophe,luz,n,a,a,n,nul,luz,same_unit
1,1,1,9,18,1,1,0.258064516129032,0.580645161290323,0.838709677419355,0,8,0,1,23,6,0,0,0,569,227,4,4,0,0,0,0.125,0.176470588235294,0.125,0.235294117647059,0,0.0588235294117647,0,0.0588235294117647,0,0,0,0,noconj,noconj,noconj,noconj,compactando,até,vp,compactando,vp,pp,pp,vp,até,compactando,cause_result
1,1,1,27,8,2,1,0.838709677419355,0.161290322580645,1,0,26,0,2,5,0,0,0,0,569,245,21,21,0,0,0,0.192307692307692,0,0.192307692307692,0.428571428571429,0.153846153846154,0,0.0384615384615385,0.142857142857143,0,0,0,0,noconj,noconj,noconj,noconj,outros,_,napostrophe,_,a,napostrophe,napostrophe,a,_,outros,summary
1,1,1,8,7,1,1,0.538461538461538,0.461538461538462,1,0,7,0,1,5,0,1,0,0,265,272,2,2,0,0,0,0,0.166666666666667,0,0.333333333333333,0,0,0,0.166666666666667,0,0,0,0,noconj,noconj,noconj,noconj,:,é,s,:,s,s,s,s,é,:,interpretation_evaluation_conclusion
1,1,1,6,4,1,1,0.357142857142857,0.214285714285714,0.571428571428571,6,10,2,3,3,0,1,0,0,283,287,3,3,0,0,0,0.2,0.333333333333333,0.2,0.333333333333333,0,0,0,0,0.2,0,0,0,condicional,noconj,noconj,noconj,se,entra,vp,entra,conjp,vp,vp,conjp,entra,se,condition_otherwise
1,1,1,3,10,1,2,0.0909090909090909,0,0.454545454545455,18,0,0,0,3,0,1,0,0,209,283,4,4,0,0,0,1,0,4,0,0,0,1.5,0,0,0,0,0,noconj,condicional,noconj,noconj,estrela,subgigante,s,subgigante,np,vp,vp,np,subgigante,estrela,same_unit
1,1,1,5,13,1,3,0.285714285714286,0,1,0,0,0,0,9,0,1,0,0,277,281,4,4,0,0,0,0.25,0.166666666666667,0,0.25,0,0,0,0.0833333333333333,0.25,0.0833333333333333,0,0,temporal,noconj,noconj,noconj,comma,estrela,np,estrela,pnt,np,np,pnt,estrela,comma,background_circumstance
1,1,1,15,6,1,1,0.590909090909091,0.227272727272727,0.818181818181818,4,17,1,2,5,0,1,0,0,294,307,5,5,0,0,0,0.142857142857143,0.2,0.285714285714286,0.2,0,0,0,0.2,0.0714285714285714,0,0,0,aditiva,noconj,noconj,noconj,encolher,para,vp,encolher,vp,pp,pp,vp,para,encolher,enablement_motivation_purpose
1,1,1,5,8,1,1,0.102564102564103,0.179487179487179,0.282051282051282,22,26,3,4,11,5,1,0,0,334,338,12,12,0,0,0,0.75,0,1.75,0.285714285714286,0.5,0,0.5,0,0.25,0,0,0,explicativa,noconj,noconj,noconj,comma,viajando,np,viajando,pnt,napostrophe,napostrophe,pnt,viajando,comma,elaboration
1,1,1,13,7,2,1,0.282051282051282,0.128205128205128,0.41025641025641,22,33,3,5,4,0,1,0,0,334,345,10,10,0,0,0,0.25,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0,0.166666666666667,0,0,0,0.0833333333333333,0.5,explicativa,noconj,noconj,noconj,luz,é,s,é,np,vp,vp,np,é,luz,same_unit
1,1,1,19,20,1,3,0.461538461538462,0,0.871794871794872,5,0,1,0,15,0,1,0,0,317,334,8,8,0,0,0,0.111111111111111,0.0526315789473684,0.111111111111111,0.263157894736842,0.0555555555555556,0,0.0555555555555556,0,0,0.0526315789473684,0,0,noconj,explicativa,noconj,noconj,ponto,que,napostrophe,ponto,napostrophe,cp,cp,napostrophe,que,ponto,cause_result
1,1,1,6,39,1,4,0.128205128205128,0,1,0,0,0,0,32,0,1,0,0,312,317,3,3,0,0,0,0,0.0789473684210526,0,0.263157894736842,0,0.0263157894736842,0,0.0263157894736842,0,0.0263157894736842,0,0,noconj,noconj,noconj,noconj,comma,chega,s,chega,cp,s,s,cp,chega,comma,background_circumstance
1,1,1,6,7,1,1,0.454545454545455,0.545454545454545,1,0,5,0,1,6,0,1,0,0,349,354,2,2,0,0,0,0,0.166666666666667,0,0.333333333333333,0,0,0,0.166666666666667,0,0,0,0,noconj,noconj,noconj,noconj,comma,ganhando,s,comma,s,s,s,s,ganhando,comma,cause_result
1,1,2,26,15,1,2,0.540540540540541,0,0.756756756756757,10,0,1,0,6,0,0,0,0,372,569,4,4,0,0,0,0.04,0.142857142857143,0.12,0.357142857142857,0.08,0,0.04,0,0,0,0,0,noconj,noconj,noconj,noconj,explica,publicado,s,publicado,np,vp,vp,np,publicado,explica,elaboration
1,1,1,6,7,1,1,0.263157894736842,0.263157894736842,0.526315789473684,9,14,1,3,5,0,1,0,0,407,412,6,6,0,0,0,0.2,0.166666666666667,0.6,0.166666666666667,0.2,0,0,0,0,0.166666666666667,0,0,noconj,aditiva,noconj,noconj,dando,e,vp,dando,vp,conjp,conjp,vp,e,dando,list
1,1,1,32,3,1,1,0.925925925925926,0.0740740740740741,1,0,25,0,1,2,0,1,0,0,417,442,12,12,0,0,0,0.0967741935483871,0.5,0.161290322580645,0.5,0,0,0.0967741935483871,0,0,0,0,0,noconj,noconj,noconj,noconj,de_,diz,s,diz,np,vp,vp,np,diz,de_,attribution
1,1,1,8,7,1,1,0.315789473684211,0.315789473684211,0.631578947368421,0,5,0,1,12,8,1,0,0,472,477,8,8,0,0,0,0.142857142857143,0,0.142857142857143,0.166666666666667,0.142857142857143,0.166666666666667,0.142857142857143,0.166666666666667,0,0.166666666666667,0,0,noconj,noconj,noconj,noconj,comma,de,pp,de,pnt,pp,pp,pnt,de,comma,background_circumstance
1,1,1,6,4,1,1,0.263157894736842,0.105263157894737,0.368421052631579,10,15,2,3,2,0,1,0,0,482,487,5,5,0,0,0,0.2,0.333333333333333,0.6,0,0.4,0,0.6,0,0.4,0,0,0,causal,noconj,noconj,noconj,vê#,para,vp,vê#,vapostrophe,pp,pp,vapostrophe,para,vê#,enablement_motivation_purpose
1,1,1,15,10,2,2,0.631578947368421,0,1,0,0,0,0,7,0,1,0,0,472,482,2,2,0,0,0,0,0.222222222222222,0,0.111111111111111,0,0,0,0.111111111111111,0,0.111111111111111,0,0,noconj,causal,noconj,noconj,é,como,s,é,s,s,s,s,como,é,condition_otherwise
1,1,1,7,11,1,1,0.411764705882353,0.588235294117647,1,0,7,0,1,10,0,1,0,0,491,498,8,8,0,0,0,0.333333333333333,0.2,0,0.3,0.333333333333333,0,0,0,0,0,0,0,noconj,noconj,noconj,noconj,lá,observando,vp,observando,adv,vp,vp,adv,observando,lá,means
1,1,1,18,14,1,1,0.454545454545455,0.545454545454545,1,0,10,0,1,12,0,1,0,0,508,518,9,9,0,0,0,0.0588235294117647,0.153846153846154,0.294117647058824,0.230769230769231,0,0.0769230769230769,0,0.230769230769231,0,0,0,0,noconj,noconj,noconj,noconj,sistema,em,napostrophe,sistema,napostrophe,pp,pp,napostrophe,em,sistema,interpretation_evaluation_conclusion
1,1,1,12,9,1,1,0.529411764705882,0.470588235294118,1,0,9,0,1,7,0,1,0,0,530,539,2,2,0,0,0,0,0.375,0,0.125,0,0.125,0,0.125,0,0,0,0,noconj,noconj,noconj,noconj,a_,puderam,s,a_,pp,s,s,pp,puderam,a_,background_circumstance
1,1,1,19,13,1,1,0.583333333333333,0.416666666666667,1,0,14,0,1,9,0,1,0,0,546,560,10,10,0,0,0,0.111111111111111,0.0833333333333333,0.277777777777778,0.166666666666667,0.0555555555555556,0.166666666666667,0.111111111111111,0.0833333333333333,0,0,0,0,noconj,explicativa,noconj,noconj,comma,que,cp,comma,pnt,cp,cp,pnt,que,comma,elaboration
1,1,1,12,9,1,1,0.611111111111111,0.388888888888889,1,0,11,0,1,7,0,1,0,0,17,28,4,4,0,0,0,0,0.125,0.0909090909090909,0.125,0.181818181818182,0,0,0.125,0,0.125,0,0,noconj,aditiva,noconj,noconj,agarram,e,vp,agarram,vp,conjp,conjp,vp,e,agarram,list
1,1,1,32,8,1,1,0.837837837837838,0.189189189189189,1.02702702702703,0,28,0,1,7,0,1,0,0,69,97,9,9,0,0,0,0.0967741935483871,0.285714285714286,0.258064516129032,0.142857142857143,0.032258064516129,0,0.0967741935483871,0.285714285714286,0.032258064516129,0.142857142857143,0,0,noconj,noconj,noconj,noconj,comma,donos,cp,comma,pnt,cp,cp,pnt,donos,comma,elaboration
1,1,1,11,15,1,1,0.333333333333333,0.481481481481481,0.814814814814815,5,14,1,2,13,0,1,0,0,130,139,3,3,0,0,0,0,0.0714285714285714,0.1,0.214285714285714,0,0.0714285714285714,0,0.142857142857143,0,0.0714285714285714,0,0,noconj,aditiva,noconj,noconj,buscam,e,vp,buscam,vp,conjp,conjp,vp,e,buscam,list
1,1,1,5,26,1,2,0.185185185185185,0,1,0,0,0,0,22,0,1,0,0,125,130,7,7,0,0,0,0.5,0.04,0.25,0.28,0,0.04,0,0.12,0,0.04,0,0,noconj,noconj,noconj,noconj,isso,despedaçando,np,despedaçando,dem,n,n,dem,despedaçando,isso,means
1,1,1,10,6,1,1,0.545454545454545,0.454545454545455,1,0,6,0,1,5,0,1,0,0,152,158,2,2,0,0,0,0,0.2,0,0.2,0,0,0,0.4,0,0,0,0,noconj,noconj,noconj,noconj,depois,montando,s,depois,s,s,s,s,montando,depois,cause_result
